plate	column	row	Gene
2	4	5	RPS6KB1
2	4	6	TNFRSF10A
2	4	7	RPS6KB2
2	4	8	TNK1
2	4	9	RPS6KC1
2	4	10	PBK
2	4	11	RPS6KL1
2	4	12	TPK1
2	4	13	RYK
2	4	14	KALRN
2	4	15	MAST1
2	4	16	TRIB2
2	4	17	SKAP1
2	4	18	TRAT1
2	4	19	SCYL1
2	4	20	TRIO
2	5	0	NA
2	5	1	NA
2	5	2	NA
2	5	3	NA
2	5	4	NA
2	5	5	NA
2	5	6	NA
2	5	7	NA
2	5	8	NA
2	5	9	NA
2	5	10	NA
2	5	11	NA
2	5	12	NA
2	5	13	NA
2	5	14	NA
2	5	15	NA
2	5	16	NA
2	5	17	NA
2	5	18	NA
2	5	19	NA
2	5	20	NA
2	6	0	NA
2	6	1	SEPHS1|LOC389873
2	6	2	TRPM6
2	6	3	SGK
2	6	4	TRPM7
2	6	5	SGK2
2	6	6	TSKS
2	6	7	SGK3
2	6	8	TTBK1
2	6	9	SHC1
2	6	10	TTBK2
2	6	11	SNF1LK2
2	6	12	TTK
2	6	13	SLK
2	6	14	TTN
2	6	15	SMG1
2	6	16	TXK
2	6	17	NUAK2
2	6	18	TXNDC3
2	6	19	SNF1LK
2	6	20	TYK2
2	7	0	NA
2	7	1	NA
2	7	2	NA
2	7	3	NA
2	7	4	NA
2	7	5	NA
2	7	6	NA
2	7	7	NA
2	7	8	NA
2	7	9	NA
2	7	10	NA
2	7	11	NA
2	7	12	NA
2	7	13	NA
2	7	14	NA
2	7	15	NA
2	7	16	NA
2	7	17	NA
2	7	18	NA
2	7	19	NA
2	7	20	NA
2	8	0	NA
2	8	1	PLK2
2	8	2	TYRO3
2	8	3	SNRK
2	8	4	UCK1
2	8	5	SOCS1
2	8	6	UGP2
2	8	7	SOCS5
2	8	8	ULK1
2	8	9	SPA17
2	8	10	ULK2
2	8	11	CDC42SE2
2	8	12	CMPK1
2	8	13	SPHK1
2	8	14	UCK2
2	8	15	SPHK2
2	8	16	UCKL1
2	8	17	SEPHS2|LOC100131892|LOC402198
2	8	18	VRK1
2	8	19	SQSTM1
2	8	20	VRK2
2	9	0	NA
2	9	1	NA
2	9	2	NA
2	9	3	NA
2	9	4	NA
2	9	5	NA
2	9	6	NA
2	9	7	NA
2	9	8	NA
2	9	9	NA
2	9	10	NA
2	9	11	NA
2	9	12	NA
2	9	13	NA
2	9	14	NA
2	9	15	NA
2	9	16	NA
2	9	17	NA
2	9	18	NA
2	9	19	NA
2	9	20	NA
2	10	0	NA
2	10	1	SRC
2	10	2	VRK3
2	10	3	SRMS
2	10	4	WEE1
2	10	5	SRPK1
2	10	6	WIF1
2	10	7	SRPK2
2	10	8	XYLB
2	10	9	ABI1
2	10	10	YES1
2	10	11	TSSK6
2	10	12	YWHAH
2	10	13	STK10
2	10	14	YWHAQ
2	10	15	STK11
2	10	16	ZAK
2	10	17	STK16
2	10	18	ZAP70
2	10	19	STK17A
2	10	20	NA
2	11	0	NA
2	11	1	NA
2	11	2	NA
2	11	3	NA
2	11	4	NA
2	11	5	NA
2	11	6	NA
2	11	7	NA
2	11	8	NA
2	11	9	NA
2	11	10	NA
2	11	11	NA
2	11	12	NA
2	11	13	NA
2	11	14	NA
2	11	15	NA
2	11	16	NA
2	11	17	NA
2	11	18	NA
2	11	19	NA
2	11	20	NA
2	12	0	NA
2	12	1	STK17B
2	12	2	NA
2	12	3	PLK4
2	12	4	NA
2	12	5	STK19|DOM3Z
2	12	6	NA
2	12	7	DGCR14|TSSK2|TSSK1B
2	12	8	NA
2	12	9	TSSK3
2	12	10	NA
2	12	11	TSSK1B
2	12	12	NA
2	12	13	SRPK3
2	12	14	NA
2	12	15	STK24
2	12	16	NA
2	12	17	STK25
2	12	18	NA
2	12	19	BRSK2
2	12	20	NA
2	13	0	NA
2	13	1	NA
2	13	2	NA
2	13	3	NA
2	13	4	NA
2	13	5	NA
2	13	6	NA
2	13	7	NA
2	13	8	NA
2	13	9	NA
2	13	10	NA
2	13	11	NA
2	13	12	NA
2	13	13	NA
2	13	14	NA
2	13	15	NA
2	13	16	NA
2	13	17	NA
2	13	18	NA
2	13	19	NA
2	13	20	NA
2	14	0	NA
2	14	1	STK3
2	14	2	NA
2	14	3	STK31
2	14	4	NA
2	14	5	STK33
2	14	6	NA
2	14	7	STK35
2	14	8	NA
2	14	9	STK36
2	14	10	NA
2	14	11	STK38
2	14	12	NA
2	14	13	STK38L
2	14	14	NA
2	14	15	STK39
2	14	16	NA
2	14	17	STK4
2	14	18	NA
2	14	19	AURKA|AURKAPS1
2	14	20	NA
2	15	0	NA
2	15	1	NA
2	15	2	NA
2	15	3	NA
2	15	4	NA
2	15	5	NA
2	15	6	NA
2	15	7	NA
2	15	8	NA
2	15	9	NA
2	15	10	NA
2	15	11	NA
2	15	12	NA
2	15	13	NA
2	15	14	NA
2	15	15	NA
2	15	16	NA
2	15	17	NA
2	15	18	NA
2	15	19	NA
2	15	20	NA
3	0	0	NA
3	0	1	SEPT11
3	0	2	CD58
3	0	3	AAMP
3	0	4	CD9
3	0	5	ABCB4
3	0	6	CDC37
3	0	7	ABCC10
3	0	8	CDC42EP3
3	0	9	ABCD3
3	0	10	CDC5L
3	0	11	ABCG5
3	0	12	CDC6
3	0	13	ABCG8
3	0	14	CDH1
3	0	15	ABTB1
3	0	16	CDH10
3	0	17	ACYP2
3	0	18	CDH11
3	0	19	ADD2
3	0	20	CDH12
3	1	0	NA
3	1	1	ATN1
3	1	2	DBNL
3	1	3	DSC1
3	1	4	HIST1H1C
3	1	5	DSC2
3	1	6	HIST2H2BE
3	1	7	DSC3
3	1	8	HIVEP2
3	1	9	DSG1
3	1	10	HMG2L1
3	1	11	DSG2
3	1	12	HMGA2
3	1	13	DTNA
3	1	14	HMGN2
3	1	15	EFEMP1
3	1	16	HMMR
3	1	17	EFS
3	1	18	HNRPD
3	1	19	EGR2
3	1	20	HNT
3	2	0	NA
3	2	1	NCKIPSD
3	2	2	CDH13
3	2	3	ACAN
3	2	4	CDH15
3	2	5	AIF1
3	2	6	CDH16
3	2	7	AIM2
3	2	8	CDH18
3	2	9	AKAP2|PALM2-AKAP2
3	2	10	CDH19
3	2	11	PDLIM3
3	2	12	CDH2
3	2	13	PARD3B
3	2	14	CDH20
3	2	15	ANKRD1
3	2	16	CDH23
3	2	17	ANKRD5
3	2	18	CDH4
3	2	19	ANXA10
3	2	20	CDH5
3	3	0	NA
3	3	1	ELAVL1
3	3	2	HPCAL1
3	3	3	ELAVL2
3	3	4	WDR57
3	3	5	ELAVL3
3	3	6	HPS4
3	3	7	ELMO1
3	3	8	KRR1
3	3	9	ENC1
3	3	10	HSPA1A|HSPA1B
3	3	11	ENG
3	3	12	HSPA1L
3	3	13	EPS15
3	3	14	HSPA2
3	3	15	ERAF
3	3	16	HSPA4
3	3	17	ERAL1
3	3	18	HSPA5|LOC400750
3	3	19	EVL
3	3	20	HSPA6|LOC652750
3	4	0	NA
3	4	1	ANXA11
3	4	2	CDH6
3	4	3	ANXA13
3	4	4	CDH7
3	4	5	APBB1
3	4	6	CDH8
3	4	7	APBB3
3	4	8	CDH9
3	4	9	APC
3	4	10	CDK5RAP2
3	4	11	APC2
3	4	12	CDY1|CDY2A|CDY1B|CDY2B
3	4	13	APCS
3	4	14	CDY1|CDY2A|CDY1B|CDY2B
3	4	15	HSPA4L
3	4	16	CEBPG
3	4	17	APLP1
3	4	18	CENPA
3	4	19	APOL4
3	4	20	CENPB
3	5	0	NA
3	5	1	F8
3	5	2	HSPA9
3	5	3	FCN2
3	5	4	HSPB7
3	5	5	FIBP
3	5	6	HSPH1
3	5	7	ARMC1
3	5	8	RPA4
3	5	9	PLEKHH3
3	5	10	AGGF1
3	5	11	ZNF547
3	5	12	XAF1
3	5	13	FLNB
3	5	14	HYOU1
3	5	15	FMOD
3	5	16	IBSP
3	5	17	FMR1
3	5	18	ICAM5
3	5	19	FOSB
3	5	20	IFI35
3	6	0	NA
3	6	1	PDS5B
3	6	2	CENPC1
3	6	3	ARFIP2
3	6	4	CEP250
3	6	5	ARHGEF17
3	6	6	CETN1
3	6	7	ARHGEF5
3	6	8	CETN3
3	6	9	RHOU
3	6	10	CFL1
3	6	11	ATF7IP
3	6	12	CGGBP1
3	6	13	AVEN
3	6	14	CGREF1
3	6	15	BACH2
3	6	16	CHAF1A
3	6	17	BAD
3	6	18	CHGA
3	6	19	BAG2
3	6	20	CIDEA
3	7	0	NA
3	7	1	FSTL1
3	7	2	IGFALS
3	7	3	NA
3	7	4	IGFBP1
3	7	5	FUBP1
3	7	6	IGFBP2
3	7	7	LOC653884|LOC642558|FUSIP1
3	7	8	IGFBP4
3	7	9	FXR1
3	7	10	IGFBP5
3	7	11	FXR2
3	7	12	IGFBP6
3	7	13	GAB2
3	7	14	IGFBP7|LOC100129547
3	7	15	GABPB2
3	7	16	IGF2BP1
3	7	17	GAN
3	7	18	IGF2BP2|LOC727884|LOC727884|LOC727884
3	7	19	GCM2
3	7	20	ING1
